Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
Madrid orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Magellan virus,,,,
Magnolia carlavirus,Carlavirus,Betaflexiviridae,Tymovirales,Alsuviricetes
Magpie hepacivirus,Hepacivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Magpiepox virus,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Maguari orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Mahaffey road virus,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
Maize streak Reunion virus,Mastrevirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Maize streak virus,Mastrevirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Makokou virus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Maksutov virus,,,,
Maldonado phlebovirus,Phlebovirus,Phenuiviridae,Bunyavirales,Ellioviricetes
Mallard associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Mallard associated gemygorvirus 1,Gemygorvirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Malsoor virus,Phlebovirus,Phenuiviridae,Bunyavirales,Ellioviricetes
Mamastrovirus 1,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 10,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 11,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 12,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 13,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 14,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 15,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 16,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 17,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 18,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 19,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 2,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 25,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 3,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 4,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 5,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 6,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 7,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 8,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus 9,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus pig/HL/China,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mamastrovirus sp.,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mammalian 1 orthobornavirus,Orthobornavirus,Bornaviridae,Mononegavirales,Monjiviricetes
Mammalian 2 orthobornavirus,Orthobornavirus,Bornaviridae,Mononegavirales,Monjiviricetes
Mammalian orthoreovirus,Orthoreovirus,Reoviridae,Reovirales,Resentoviricetes
Mammalian orthorubulavirus 5,Orthorubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Mammarenavirus sp.,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Mandrill polyomavirus,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mandrillus betaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Mandrillus cytomegalovirus,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Mandrillus sphinx adenovirus,,Adenoviridae,Rowavirales,Tectiliviricetes
Mandrillus sphinx lymphocryptovirus 2,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Manhattan parechovirus,Parechovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Manych virus,,Flaviviridae,Amarillovirales,Flasuviricetes
Manzanilla orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Maporal orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Mapuera orthorubulavirus,Orthorubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Marburg marburgvirus,Marburgvirus,Filoviridae,Mononegavirales,Monjiviricetes
Marco hapavirus,Hapavirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Mariental mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Maripa hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Marituba orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Marmoset adenovirus 1.2,,Adenoviridae,Rowavirales,Tectiliviricetes
Marmoset pegivirus,Hepacivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Marmot associated feces circular DNA molecule 1,,,,
Marmot associated feces circular DNA molecule 2,,,,
Marmot associated feces circular DNA molecule 3,,,,
Marmot associated feces circular DNA molecule 4,,,,
Marmot associated feces virus 1,,,,
Marmot associated feces virus 2,,,,
Marmot associated feces virus 3,,,,
Marmot associated feces virus 4,,,,
Marmot associated feces virus 5,,,,
Marmot associated feces virus 6,,,,
Marmot associated genomovirus 1,,Genomoviridae,Geplafuvirales,Repensiviricetes
Marmot associated genomovirus 2,,Genomoviridae,Geplafuvirales,Repensiviricetes
Marmot associated genomovirus 3,,Genomoviridae,Geplafuvirales,Repensiviricetes
Marmot associated genomovirus 4,,Genomoviridae,Geplafuvirales,Repensiviricetes
Marmot associated torque teno virus,,Anelloviridae,,
Marmot astrovirus 1,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot astrovirus 2,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot astrovirus 3,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot astrovirus 4,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot astrovirus 5,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot astrovirus 6,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Marmot cardiovirus,Cardiovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Marmot kobuvirus,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Marmot mosavirus,Mosavirus,Picornaviridae,Picornavirales,Pisoniviricetes
Marmot norovirus,Norovirus,Caliciviridae,Picornavirales,Pisoniviricetes
Marmot picobirnavirus,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Marmot sapelovirus 1,Sapelovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Marmot sapelovirus 2,Sapelovirus,Picornaviridae,Picornavirales,Pisoniviricetes
Marmot sapovirus,Sapovirus,Caliciviridae,Picornavirales,Pisoniviricetes
Marr virus,,,,
Marten adenovirus type 1,Aviadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Marten adenovirus type 2,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Marten alphaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Marten alphaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Marten alphaherpesvirus 2,,Herpesviridae,Herpesvirales,Herviviricetes
Marten betaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Marten gammaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Marten gammaherpesvirus 2,,Herpesviridae,Herpesvirales,Herviviricetes
Marten gammaherpesvirus 3,,Herpesviridae,Herpesvirales,Herviviricetes
Marten gammaherpesvirus 4,,Herpesviridae,Herpesvirales,Herviviricetes
Mason-Pfizer monkey virus,Betaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Mason Creek virus,,Peribunyaviridae,Bunyavirales,Ellioviricetes
Mastadenovirus ferret/FRAdV/UI/2012,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp.,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-0202,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5173,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5306,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5321,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5323,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5338,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5339,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5411,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5476,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5478,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5492,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5493,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5558,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5763,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5775,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5812,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5922,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-5937,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-6044,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastadenovirus sp. CMR-6284,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mastomys natalensis cytomegalovirus 3,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Mastomys natalensis polyomavirus 1,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mastomys natalensis polyomavirus 2,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mastomys natalensis polyomavirus 3,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mastomys natalensis rhadinovirus 1,Rhadinovirus,Herpesviridae,Herpesvirales,Herviviricetes
Matariya virus,,Rhabdoviridae,Mononegavirales,Monjiviricetes
Matlapitsi bat lyssavirus,Lyssavirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Mavingoni virus,Ephemerovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Mawson virus,,,,
Mayaro virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Measles morbillivirus,Morbillivirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Mediterranean horseshoe bat adenovirus 1,,Adenoviridae,Rowavirales,Tectiliviricetes
Mediterranean horseshoe bat adenovirus 2,,Adenoviridae,Rowavirales,Tectiliviricetes
Mediterranean horseshoe bat adenovirus 3,,Adenoviridae,Rowavirales,Tectiliviricetes
Mediterranean horseshoe bat adenovirus 4,,Adenoviridae,Rowavirales,Tectiliviricetes
Megabat bufavirus 2,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Megabat gammaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Megaerops kusnotoi astrovirus,,Astroviridae,Stellavirales,Stelpaviricetes
Megrivirus A,Megrivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Megrivirus D,Megrivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Megrivirus E,Megrivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Melao orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Meleagrid alphaherpesvirus 1,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Melegrivirus A,Megrivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Meles meles circovirus-like virus,,Circoviridae,Cirlivirales,Arfiviricetes
Meles meles polyomavirus 1,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Meliandou hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Mella virus,,,,
Melomys burtoni retrovirus,,Retroviridae,Ortervirales,Revtraviricetes
Melon-headed whale alphaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Melon yellow spot orthotospovirus,Orthotospovirus,Tospoviridae,Bunyavirales,Ellioviricetes
Merino Walk mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Mermet orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Mesocricetus auratus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mesoplodon densirostris herpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Metapneumovirus sp.,Metapneumovirus,Pneumoviridae,Mononegavirales,Monjiviricetes
Mfuwe bufavirus,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Micro Torque teno virus,,Anelloviridae,,
Microtus agrestis cytomegalovirus 1,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Microtus arvalis cytomegalovirus 1,Cytomegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
Microtus arvalis polyomavirus 1,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Microtus picobirnavirus V-111/USA/2008,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Middelburg virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Middle Pease River virus,,Arenaviridae,Bunyavirales,Ellioviricetes
Middle Point orbivirus,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Millet streak virus,Mastrevirus,Geminiviridae,Geplafuvirales,Repensiviricetes
Minacovirus mink/NLD/2020/NT_4,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Minatitlan orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Mini PCV-like virus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Miniopterus africanus polyomavirus 1,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Miniopterus associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Miniopterus bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3709,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCov/3710,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3728-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3728-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3736-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3736-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3759-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3759-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3760-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3760-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3767,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/3983,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4001-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4001-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4023-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4023-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4036-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4036-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4039,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4040,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4056-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4056-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4068-1,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus BtCoV/4068-2,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus HKU8,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus/Kenya/KY27/2006,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus bat coronavirus/Kenya/KY33/2006,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus fuliginosus astrovirus,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus fuliginosus astrovirus XMM445,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus fuliginosus bocavirus,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Miniopterus fuliginosus coronavirus,,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus gleni paramyxovirus,,Paramyxoviridae,Mononegavirales,Monjiviricetes
Miniopterus griveaudi paramyxovirus,,Paramyxoviridae,Mononegavirales,Monjiviricetes
Miniopterus picornavirus 1,,,Picornavirales,Pisoniviricetes
Miniopterus picornavirus 2,,,Picornavirales,Pisoniviricetes
Miniopterus pusillus bat coronavirus HKU8-related,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus schreibersi polyomavirus 3,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Miniopterus schreibersi polyomavirus 4,,Polyomaviridae,Sepolyvirales,Papovaviricetes
Miniopterus schreibersii astrovirus 1,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 10,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 11,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 12,,,,
Miniopterus schreibersii astrovirus 13,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 2,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 3,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 4,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 5,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 6,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 6/11/12,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 7,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 8,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii astrovirus 9,,Astroviridae,Stellavirales,Stelpaviricetes
Miniopterus schreibersii bat coronavirus 1-related,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Miniopterus schreibersii betaherpesvirus 2,,Herpesviridae,Herpesvirales,Herviviricetes
Miniopterus schreibersii betaherpesvirus 3,,Herpesviridae,Herpesvirales,Herviviricetes
Miniopterus schreibersii gammaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Miniopterus schreibersii paramyxovirus,,Paramyxoviridae,Mononegavirales,Monjiviricetes
Miniopterus schreibersii parvovirus,,Parvoviridae,Piccovirales,Quintoviricetes
Miniopterus schreibersii polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Miniopterus schreibersii polyomavirus 2,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Miniopterus schreibersii rhabdovirus 1,,Rhabdoviridae,Mononegavirales,Monjiviricetes
Miniopterus sororculus paramyxovirus,,Paramyxoviridae,Mononegavirales,Monjiviricetes
Miniopterus_schreibersii astrovirus_12,,Astroviridae,Stellavirales,Stelpaviricetes
Mink avastrovirus,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Mink bocavirus,Bocaparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Mink calicivirus,Vesivirus,Caliciviridae,Picornavirales,Pisoniviricetes
Mink circovirus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Mink coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Mink coronavirus strain WD1133,Alphacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Mink enteric sapovirus,Sapovirus,Caliciviridae,Picornavirales,Pisoniviricetes
Minke whale astrovirus 1,,Astroviridae,Stellavirales,Stelpaviricetes
Minke whale astrovirus 2,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Miopithecus talapoin lymphocryptovirus 1,Lymphocryptovirus,Herpesviridae,Herpesvirales,Herviviricetes
Mischivirus A,Mischivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mischivirus B,Mischivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mischivirus C,Mischivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mischivirus D,Mischivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mischke partiti-like virus,,Partitiviridae,Durnavirales,Duplopiviricetes
Mitovirus JS1,Mitovirus,Mitoviridae,Cryppavirales,Howeltoviricetes
Mitovirus JS2,Mitovirus,Mitoviridae,Cryppavirales,Howeltoviricetes
Mitovirus JS3,Mitovirus,Mitoviridae,Cryppavirales,Howeltoviricetes
Mitovirus JS4,Mitovirus,Mitoviridae,Cryppavirales,Howeltoviricetes
Mitovirus JS5,Mitovirus,Mitoviridae,Cryppavirales,Howeltoviricetes
MLV-related retrovirus,Gammaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Mobala mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Mobuck virus,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Mogiana tick virus,,Flaviviridae,Amarillovirales,Flasuviricetes
Mojiang henipavirus,Henipavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Mokola lyssavirus,Lyssavirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Molluscum contagiosum virus,Molluscipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Molossus coibensis gammaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Molossus coibensis gammaherpesvirus A,,Herpesviridae,Herpesvirales,Herviviricetes
Molossus molossus betaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Molossus molossus bunyavirus,,Peribunyaviridae,Bunyavirales,Ellioviricetes
Molossus molossus circovirus 1,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Molossus molossus circovirus 2,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Molossus molossus circovirus 3,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Molossus molossus circovirus 4,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Molossus molossus foamy virus 1,Spumavirus,Retroviridae,Ortervirales,Revtraviricetes
Molossus molossus gammaherpesvirus 1,,Herpesviridae,Herpesvirales,Herviviricetes
Molossus molossus gammaherpesvirus A,,Herpesviridae,Herpesvirales,Herviviricetes
Molossus molossus papillomavirus 1,,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Molossus molossus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Mongoose associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Mongoose associated gemykibivirus 1,Gemykibivirus,Genomoviridae,Geplafuvirales,Repensiviricetes
Mongoose picobirna-like virus Mongoose/KNA/M17A/2017,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Mongoose picobirnavirus,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Monkeypox virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Monodontid alphaherpesvirus 1,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
Monongahela hantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Montano orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Montifringilla taczanowskii coronavirus HM,Deltacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Montifringilla taczanowskii coronavirus N,Deltacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
Moosepox virus GoldyGopher14,Cervidpoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Mopeia Lassa virus reassortant 29,Arenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Mopeia mammarenavirus,Mammarenavirus,Arenaviridae,Bunyavirales,Ellioviricetes
Mops bat coronavirus/South Africa/1364/2011,,Coronaviridae,Nidovirales,Pisoniviricetes
Morbillivirus sp.,Morbillivirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Mormopterus acetabulosus paramyxovirus,,Paramyxoviridae,Mononegavirales,Monjiviricetes
Morogoro mammarenavirus,,Arenaviridae,Bunyavirales,Ellioviricetes
Mosavirus A,Mosavirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mosavirus sp.,Mosavirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mott virus,,,,
Mount Elgon bat ledantevirus,Ledantevirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Mountain gorilla alphaherpesvirus,,Herpesviridae,Herpesvirales,Herviviricetes
Mouse adeno-associated virus 1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Mouse adenovirus 2 strain K87,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Mouse associated cyclovirus 1,Cyclovirus,Circoviridae,Cirlivirales,Arfiviricetes
Mouse astrovirus M-52/USA/2008,,Astroviridae,Stellavirales,Stelpaviricetes
Mouse kobuvirus M-5/USA/2010,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Mouse mammary tumor virus,Betaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Mouse papillomavirus 1,,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Mouse parvovirus 2a,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Mouse parvovirus 6,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Mouse parvovirus 7,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Mouse sapelovirus M-58/USA/2008,Sapelovirus,Picornaviridae,Picornavirales,Pisoniviricetes
