Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Piry virus,Piry virus,11274,Vesiculovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Dyolambdapapillomavirus 1,Dyolambdapapillomavirus 1,1513248,Dyolambdapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Ophidascaris robertsi,Ophidascaris robertsi,62084,Ophidascaris,Anisakidae,Rhabditida,Chromadorea
Macropodid herpesvirus 2,Macropodid alphaherpesvirus 2,83440,Simplexvirus,Herpesviridae,Herpesvirales,Herviviricetes
Progamotaenia festiva,Progamotaenia festiva,428656,Progamotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Progamotaenia diaphana,Progamotaenia diaphana,428657,Progamotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Eubenangee virus,Eubenangee virus,40056,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Globocephaloides macropodis,Globocephaloides macropodis,651541,Globocephaloides,Herpetostrongylidae,Strongylida,Chromadorea
Labiostrongylus labiostrongylus,Labiostrongylus labiostrongylus,69350,Labiostrongylus,Chabertiidae,Strongylida,Chromadorea
Macropostrongylus macropostrongylus,Macropostrongylus macropostrongylus,63241,Macropostrongylus,Chabertiidae,Strongylida,Chromadorea
Macropostrongylus yorkei,Macropostrongylus yorkei,63242,Macropostrongylus,Chabertiidae,Strongylida,Chromadorea
Progamotaenia ewersi,Progamotaenia ewersi,279406,Progamotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Globocephaloides trifidospicularis,Globocephaloides trifidospicularis,651542,Globocephaloides,Herpetostrongylidae,Strongylida,Chromadorea
Labiosimplex australis,Labiosimplex australis,555052,Labiosimplex,Chabertiidae,Strongylida,Chromadorea
Progamotaenia effigia,Progamotaenia effigia,428658,Progamotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Wallal virus,Wallal virus,40061,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Warrego virus,Warrego virus,40062,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Cloacina hydriformis,Cloacina hydriformis,63245,Cloacina,Chabertiidae,Strongylida,Chromadorea
Cryptosporidium fayeri,Cryptosporidium fayeri,582425,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
Labiostrongylus bipapillosus,Labiostrongylus bipapillosus,211878,Labiostrongylus,Chabertiidae,Strongylida,Chromadorea
Paramacropostrongylus toraliformis,Paramacropostrongylus toraliformis,63249,Paramacropostrongylus,Chabertiidae,Strongylida,Chromadorea
Rugopharynx rosemariae,Rugopharynx rosemariae,63239,Rugopharynx,Chabertiidae,Strongylida,Chromadorea
Cloacina communis,Cloacina communis,63244,Cloacina,Chabertiidae,Strongylida,Chromadorea
Hypodontus macropi,Hypodontus macropi,40343,Hypodontus,Chabertiidae,Strongylida,Chromadorea
Labiostrongylus longispicularis,Labiostrongylus longispicularis,151024,Labiostrongylus,Chabertiidae,Strongylida,Chromadorea
Papillostrongylus labiatus,Papillostrongylus labiatus,154144,Papillostrongylus,Chabertiidae,Strongylida,Chromadorea
Filarinema flagrifer,Filarinema flagrifer,108468,Filarinema,Trichostrongylidae,Strongylida,Chromadorea
Macropostrongyloides baylisi,Macropostrongyloides baylisi,63251,Macropostrongyloides,Chabertiidae,Strongylida,Chromadorea
Papillostrongylus barbatus,Papillostrongylus barbatus,154145,Papillostrongylus,Chabertiidae,Strongylida,Chromadorea
Zoniolaimus latebrosus,Zoniolaimus latebrosus,154133,Zoniolaimus,Chabertiidae,Strongylida,Chromadorea
Zoniolaimus mawsonae,Zoniolaimus mawsonae,154132,Zoniolaimus,Chabertiidae,Strongylida,Chromadorea
Cloacina caenis,Cloacina caenis,592409,Cloacina,Chabertiidae,Strongylida,Chromadorea
Cloacina pearsoni,Cloacina pearsoni,592411,Cloacina,Chabertiidae,Strongylida,Chromadorea
Cloacina robertsi,Cloacina robertsi,592412,Cloacina,Chabertiidae,Strongylida,Chromadorea
Cloacina cloelia,Cloacina cloelia,592413,Cloacina,Chabertiidae,Strongylida,Chromadorea
Cloacina ernabella,Cloacina ernabella,592410,Cloacina,Chabertiidae,Strongylida,Chromadorea
Asordaria tenerifae,Sordaria tenerifae,325663,Sordaria,Sordariaceae,Sordariales,Sordariomycetes
Aspergillus crystallinus,Penicillium crystallinum,69804,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes
Coprinellus micaceus,Coprinellus micaceus,71717,Coprinellus,Psathyrellaceae,Agaricales,Agaricomycetes
Cylindrocladiella peruviana,Cylindrocladiella peruviana,147881,Cylindrocladiella,Nectriaceae,Hypocreales,Sordariomycetes
Doratomyces stemonitis,Cephalotrichum stemonitis,186354,Cephalotrichum,Microascaceae,Microascales,Sordariomycetes
Eurotium amstelodami,Aspergillus amstelodami,5054,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
Fusarium oxysporum,Fusarium oxysporum,5507,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes
Gelasinospora cratophora,Gelasinospora cratophora,303343,Gelasinospora,Sordariaceae,Sordariales,Sordariomycetes
Mariannaea camptospora,Mariannaea camptospora,233850,Mariannaea,Nectriaceae,Hypocreales,Sordariomycetes
Neosartorya fischeri,Aspergillus fischeri,36630,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes
Neurospora cerealis,Neurospora cerealis,29881,Neurospora,Sordariaceae,Sordariales,Sordariomycetes
Penicillium concentricum,Penicillium concentricum,293559,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes
Penicillium lanosum,Penicillium lanosum,357984,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes
Preussia africana,Preussia africana,269684,Preussia,Sporormiaceae,Pleosporales,Dothideomycetes
Preussia australis,Preussia australis,55178,Preussia,Sporormiaceae,Pleosporales,Dothideomycetes
Preussia minima,Preussia minima,93984,Preussia,Sporormiaceae,Pleosporales,Dothideomycetes
Sordaria alcina,Sordaria alcina,266097,Sordaria,Sordariaceae,Sordariales,Sordariomycetes
Sordaria superba,Sordaria superba,303330,Sordaria,Sordariaceae,Sordariales,Sordariomycetes
Sporobolomyces lactosus,Sporobolomyces lactosus,86680,Sporobolomyces,Sporidiobolaceae,Sporidiobolales,Microbotryomycetes
Sporormiella isomera,Sporormiella isomera,325667,Sporormiella,Sporormiaceae,Pleosporales,Dothideomycetes
Trichoderma atroviride,Trichoderma atroviride,63577,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes
Trichosporon asahii,Trichosporon asahii,82508,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
Trichosporon faecale,Trichosporon faecale,82510,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes
Trypanosoma copemani,Trypanosoma copemani,538618,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Trypanosoma irwini,Trypanosoma irwini,646140,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Monilonema lacunosum,Monilonema lacunosa,53352,Monilonema,Chabertiidae,Strongylida,Chromadorea
Possum adenovirus,Possum atadenovirus a,121816,Atadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
Oesophagostomoides longispicularis,Oesophagostomoides longispicularis,53348,Oesophagostomoides,Chabertiidae,Strongylida,Chromadorea
Parazoniolaimus collaris,Parazoniolaimus collaris,63247,Parazoniolaimus,Chabertiidae,Strongylida,Chromadorea
Progamotaenia macropodis,Progamotaenia macropodis,279407,Progamotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Rugopharynx australis,Rugopharynx australis,63238,Rugopharynx,Chabertiidae,Strongylida,Chromadorea
Borreliella bavariensis,Borreliella bavariensis,664662,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia
Crenosoma striatum,Crenosoma striatum,699426,Crenosoma,Crenosomatidae,Strongylida,Chromadorea
Dyoetapapillomavirus 1,Dyoetapapillomavirus 1,1177767,Dyoetapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Actinobacillus capsulatus,Actinobacillus capsulatus,717,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Andrya rhopalocephala,Andrya rhopalocephala,220666,Andrya,Anoplocephalidae,Cyclophyllidea,Cestoda
European brown hare syndrome virus,European brown hare syndrome virus,33756,Lagovirus,Caliciviridae,Picornavirales,Pisoniviricetes
Myxoma virus,Myxoma virus,10273,Leporipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Schizorchis caballeroi,Schizorchis caballeroi,875447,Schizorchis,Anoplocephalidae,Cyclophyllidea,Cestoda
Ohbayashinema erbaevae,Ohbayashinema erbaevae,126398,Ohbayashinema,Heligmosomidae,Strongylida,Chromadorea
Andrya cuniculi,Andrya cuniculi,140450,Andrya,Anoplocephalidae,Cyclophyllidea,Cestoda
Bartonella alsatica,Bartonella alsatica,52764,Bartonella,Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria
Bifidobacterium cuniculi,Bifidobacterium cuniculi,1688,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Bifidobacterium magnum,Bifidobacterium magnum,1692,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Bifidobacterium saeculare,Bifidobacterium pullorum subsp. saeculare,78257,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Campylobacter cuniculorum,Campylobacter cuniculorum,374106,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Chaetomidium trichorobustum,Chaetomidium trichorobustum,669025,Chaetomidium,Chaetomiaceae,Sordariales,Sordariomycetes
Clostridium spiroforme,[Clostridium] spiroforme,29348,NA,NA,NA,NA
Cottontail rabbit papillomavirus,Kappapapillomavirus 2,10623,Kappapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Cryptosporidium cuniculus,Cryptosporidium cuniculus,564424,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
Eimeria coecicola,Eimeria coecicola,471281,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria exigua,Eimeria exigua,484791,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria flavescens,Eimeria flavescens,471277,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria intestinalis,Eimeria intestinalis,471278,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria irresidua,Eimeria irresidua,484792,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria magna,Eimeria magna,471282,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria media,Eimeria media,471279,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria perforans,Eimeria perforans,471283,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria piriformis,Eimeria piriformis,471280,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria stiedai,Eimeria stiedai,471275,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eimeria vejdovskyi,Eimeria vejdovskyi,471284,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
Eubacterium brachy,[Eubacterium] brachy,35517,NA,NA,NA,NA
Gemella cuniculi,Gemella cuniculi,150240,Gemella,NA,Bacillales,Bacilli
Graphidium strigosum,Graphidium strigosum,108472,Graphidium,Haemonchidae,Strongylida,Chromadorea
Haemophilus paracuniculus,Haemophilus paracuniculus,734,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Leporid herpesvirus 4,Leporid alphaherpesvirus 4,481315,Simplexvirus,Herpesviridae,Herpesvirales,Herviviricetes
Malassezia cuniculi,Malassezia cuniculi,948313,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes
Necropsobacter rosorum,Necropsobacter rosorum,908285,Necropsobacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Nematodiroides zembrae,Nematodiroides zembrae,126394,Nematodiroides,Molineidae,Strongylida,Chromadorea
Neoctenotaenia ctenoides,Neoctenotaenia ctenoides,227337,Neoctenotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
Passalurus ambiguus,Passalurus ambiguus,451380,Passalurus,Oxyuridae,Rhabditida,Chromadorea
Pneumocystis oryctolagi,Pneumocystis oryctolagi,42067,Pneumocystis,Pneumocystidaceae,Pneumocystidales,Pneumocystidomycetes
Podospora anserina,Podospora anserina,2587412,Podospora,Chaetomiaceae,Sordariales,Sordariomycetes
Providencia vermicola,Providencia vermicola,333965,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria
Rabbit coronavirus,Rabbit coronavirus,1898672,NA,Coronaviridae,Nidovirales,Pisoniviricetes
Rabbit fibroma virus,Rabbit fibroma virus,10271,Leporipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Rabbit oral papillomavirus,Kappapapillomavirus 1,122291,Kappapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Rabbit picobirnavirus,Rabbit picobirnavirus,104395,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
Treponema paraluiscuniculi,Treponema paraluiscuniculi,53435,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
Trichostrongylus retortaeformis,Trichostrongylus retortaeformis,40350,Trichostrongylus,Trichostrongylidae,Strongylida,Chromadorea
Rabbit kidney vacuolating virus,Rabbit kidney vacuolating virus,527205,NA,Polyomaviridae,Sepolyvirales,Papovaviricetes
Trypanosoma binneyi,Trypanosoma binneyi,87096,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
Nicollina cameroni,Nicollina cameroni,321377,Nicollina,Nicollinidae,Strongylida,Chromadorea
Blepharocorys jubata,Blepharocorys jubata,1298947,Blepharocorys,Blepharocorythidae,Entodiniomorphida,Litostomatea
Babesia bicornis,Babesia bicornis,176664,Babesia,Babesiidae,Piroplasmida,Aconoidasida
Cycloposthium bipalmatum,Cycloposthium bipalmatum,686996,Cycloposthium,Cycloposthiidae,Entodiniomorphida,Litostomatea
Cycloposthium edentatum,Cycloposthium edentatum,467016,Cycloposthium,Cycloposthiidae,Entodiniomorphida,Litostomatea
Diplodinium dentatum,Diplodinium dentatum,47889,Diplodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
Epidinium caudatum,Epidinium caudatum,47887,Epidinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
Ostracodinium trivesiculatum,Ostracodinium trivesiculatum,696974,Ostracodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
Spirodinium equi,Spirodinium equi,550467,Spirodinium,Spirodiniidae,Entodiniomorphida,Litostomatea
Tetratoxum parvum,Tetratoxum parvum,1298958,Tetratoxum,Ditoxidae,Entodiniomorphida,Litostomatea
Tetratoxum unifasciculatum,Tetratoxum unifasciculatum,1298957,Tetratoxum,Ditoxidae,Entodiniomorphida,Litostomatea
Theileria bicornis,Theileria bicornis,191824,Theileria,Theileriidae,Piroplasmida,Aconoidasida
Babesia caballi,Babesia caballi,5871,Babesia,Babesiidae,Piroplasmida,Aconoidasida
Babesia equi,Theileria equi,5872,Theileria,Theileriidae,Piroplasmida,Aconoidasida
Besnoitia bennetti,Besnoitia bennetti,280174,Besnoitia,Sarcocystidae,Eucoccidiorida,Conoidasida
Bwamba virus,Bwamba orthobunyavirus,35310,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Coronocyclus coronatus,Coronocyclus coronatus,132366,Coronocyclus,Strongylidae,Strongylida,Chromadorea
Coronocyclus labiatus,Coronocyclus labiatus,401681,Coronocyclus,Strongylidae,Strongylida,Chromadorea
Coronocyclus labratus,Coronocyclus labratus,879076,Coronocyclus,Strongylidae,Strongylida,Chromadorea
Cyathostomum catinatum,Cyathostomum catinatum,59891,Cyathostomum,Strongylidae,Strongylida,Chromadorea
Cyathostomum pateratum,Cyathostomum pateratum,53994,Cyathostomum,Strongylidae,Strongylida,Chromadorea
Cyathostomum tetracanthum,Cyathostomum tetracanthum,475190,Cyathostomum,Strongylidae,Strongylida,Chromadorea
Cylicocyclus auriculatus,Cylicocyclus auriculatus,71428,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus elongatus,Cylicocyclus elongatus,195204,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus insigne,Cylicocyclus insigne,71431,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus leptostomus,Cylicocyclus leptostomus,53997,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus nassatus,Cylicocyclus nassatus,53992,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus radiatus,Cylicocyclus radiatus,71430,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicostephanus calicatus,Cylicostephanus calicatus,71464,Cylicostephanus,Strongylidae,Strongylida,Chromadorea
Cylicostephanus goldi,Cylicostephanus goldi,71465,Cylicostephanus,Strongylidae,Strongylida,Chromadorea
Cylicostephanus longibursatus,Cylicostephanus longibursatus,71466,Cylicostephanus,Strongylidae,Strongylida,Chromadorea
Cylicostephanus minutus,Cylicostephanus minutus,71467,Cylicostephanus,Strongylidae,Strongylida,Chromadorea
Enterococcus asini,Enterococcus asini,57732,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Equid herpesvirus 2,Equid gammaherpesvirus 2,12657,Percavirus,Herpesviridae,Herpesvirales,Herviviricetes
Equid herpesvirus 5,Equid gammaherpesvirus 5,10371,Percavirus,Herpesviridae,Herpesvirales,Herviviricetes
Equid herpesvirus 7,Equid gammaherpesvirus 7,291612,NA,Herpesviridae,Herpesvirales,Herviviricetes
Equid herpesvirus 8,Equid alphaherpesvirus 8,39637,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
Equine encephalosis virus,Equine encephalosis virus,201490,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Habronema majus,Habronema majus,1973058,Habronema,Habronematidae,Rhabditida,Chromadorea
Habronema muscae,Habronema muscae,227892,Habronema,Habronematidae,Rhabditida,Chromadorea
Oxyuris equi,Oxyuris equi,132389,Oxyuris,Oxyuridae,Rhabditida,Chromadorea
Setaria equina,Setaria equina,221942,Setaria,Setariidae,Rhabditida,Chromadorea
Strongylus edentatus,Strongylus edentatus,40346,Strongylus,Strongylidae,Strongylida,Chromadorea
Strongylus equinus,Strongylus equinus,40347,Strongylus,Strongylidae,Strongylida,Chromadorea
Strongylus vulgaris,Strongylus vulgaris,40348,Strongylus,Strongylidae,Strongylida,Chromadorea
Taylorella asinigenitalis,Taylorella asinigenitalis,84590,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Taylorella equigenitalis,Taylorella equigenitalis,29575,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Theileria equi,Theileria equi,5872,Theileria,Theileriidae,Piroplasmida,Aconoidasida
Triodontophorus serratus,Triodontophorus serratus,54002,Triodontophorus,Strongylidae,Strongylida,Chromadorea
Acholeplasma hippikon,Acholeplasma hippikon,264636,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes
Acholeplasma parvum,Acholeplasma parvum,264639,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes
Acinetobacter beijerinckii,Acinetobacter beijerinckii,262668,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Actinobacillus arthritidis,Actinobacillus arthritidis,157339,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Aerococcus urinaeequi,Aerococcus urinaeequi,51665,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli
Amycolatopsis kentuckyensis,Amycolatopsis kentuckyensis,218823,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia
Amycolatopsis lexingtonensis,Amycolatopsis lexingtonensis,218822,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia
Amycolatopsis pretoriensis,Amycolatopsis pretoriensis,218821,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia
Anoplocephala magna,Anoplocephala magna,218193,Anoplocephala,Anoplocephalidae,Cyclophyllidea,Cestoda
Anoplocephala perfoliata,Anoplocephala perfoliata,218192,Anoplocephala,Anoplocephalidae,Cyclophyllidea,Cestoda
Arcanobacterium hippocoleae,Arcanobacterium hippocoleae,149017,Arcanobacterium,Actinomycetaceae,Actinomycetales,Actinomycetia
Arthroderma uncinatum,Arthroderma uncinatum,74035,Arthroderma,Arthrodermataceae,Onygenales,Eurotiomycetes
Atopobium fossor,Atopobium fossor,39487,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia
Aura virus,Aura virus,44158,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Basidiobolus haptosporus,Basidiobolus haptosporus,90248,Basidiobolus,Basidiobolaceae,Basidiobolales,Basidiobolomycetes
Blepharocorys uncinata,Blepharocorys uncinata,686991,Blepharocorys,Blepharocorythidae,Entodiniomorphida,Litostomatea
Borrelia parkeri,Borrelia parkeri,141,Borrelia,Borreliaceae,Spirochaetales,Spirochaetia
Borreliella lusitaniae,Borreliella lusitaniae,100177,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia
Cellulosimicrobium cellulans,Cellulosimicrobium cellulans,1710,Cellulosimicrobium,Promicromonosporaceae,Micrococcales,Actinomycetia
Chlamydophila caviae,Chlamydia caviae,83557,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Conidiobolus coronatus,Conidiobolus coronatus,34488,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes
Corynebacterium matruchotii,Corynebacterium matruchotii,43768,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Corynebacterium uterequi,Corynebacterium uterequi,1072256,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Craterostomum acuticaudatum,Craterostomum acuticaudatum,74591,Craterostomum,Strongylidae,Strongylida,Chromadorea
Crossiella equi,Crossiella equi,130796,Crossiella,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia
Cyathostomum labiatum,Coronocyclus labiatus,401681,Coronocyclus,Strongylidae,Strongylida,Chromadorea
Cylicocyclus ashworthi,Cylicocyclus ashworthi,53996,Cylicocyclus,Strongylidae,Strongylida,Chromadorea
Cylicodontophorus bicoronatus,Cylicodontophorus bicoronatus,74594,Cylicodontophorus,Strongylidae,Strongylida,Chromadorea
Cylicostephanus bidentatus,Cylicostephanus bidentatus,71461,Cylicostephanus,Strongylidae,Strongylida,Chromadorea
Dyoiotapapillomavirus 1,Dyoiotapapillomavirus 1,1233177,Dyoiotapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Dyoiotapapillomavirus 2,Dyoiotapapillomavirus 2,2083182,Dyoiotapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Dyorhopapillomavirus 1,Dyorhopapillomavirus 1,1513253,Dyorhopapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Echinococcus equinus,Echinococcus equinus,519353,Echinococcus,Taeniidae,Cyclophyllidea,Cestoda
Entamoeba equi,Entamoeba equi,359304,Entamoeba,Entamoebidae,Mastigamoebida,NA
Equid herpesvirus 3,Equid alphaherpesvirus 3,80341,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
Equid herpesvirus 4,Equid alphaherpesvirus 4,10331,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
Equine foamy virus,Equine foamy virus,109270,Equispumavirus,Retroviridae,Ortervirales,Revtraviricetes
Equine papillomavirus 1,Zetapapillomavirus 1,333919,Zetapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Equinia mamillana,Equinia mamillana,268478,Equinia,Anoplocephalidae,Cyclophyllidea,Cestoda
Eremococcus coleocola,Eremococcus coleocola,88132,Eremococcus,Aerococcaceae,Lactobacillales,Bacilli
Fusobacterium equinum,Fusobacterium equinum,134605,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
Gardnerella vaginalis,Gardnerella vaginalis,2702,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Gyalocephalus capitatus,Gyalocephalus capitatus,1678061,Gyalocephalus,Strongylidae,Strongylida,Chromadorea
Helicobacter equorum,Helicobacter equorum,361872,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Histoplasma capsulatum var. farciminosum,Histoplasma capsulatum var. farciminosum,149547,Histoplasma,Ajellomycetaceae,Onygenales,Eurotiomycetes
Kairi virus,Kairi virus,80939,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Lactobacillus equi,Ligilactobacillus equi,137357,Ligilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli
Lactobacillus pantheris,Lacticaseibacillus pantheris,171523,Lacticaseibacillus,Lactobacillaceae,Lactobacillales,Bacilli
Madariaga virus,Madariaga virus,1440170,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Neospora hughesi,Neospora hughesi,83675,Neospora,Sarcocystidae,Eucoccidiorida,Conoidasida
Nicoletella semolina,Nicoletella semolina,271160,Nicoletella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Oesophagodontus robustus,Oesophagodontus robustus,53340,Oesophagodontus,Strongylidae,Strongylida,Chromadorea
Onchocerca cervicalis,Onchocerca cervicalis,35522,Onchocerca,Onchocercidae,Rhabditida,Chromadorea
Paranoplocephala mamillana,Equinia mamillana,268478,Equinia,Anoplocephalidae,Cyclophyllidea,Cestoda
Parapoteriostomum euproctus,Parapoteriostomum euproctus,401684,Parapoteriostomum,Strongylidae,Strongylida,Chromadorea
Parapoteriostomum mettami,Parapoteriostomum mettami,879077,Parapoteriostomum,Strongylidae,Strongylida,Chromadorea
Parascaris equorum,Parascaris equorum,6256,Parascaris,Ascarididae,Rhabditida,Chromadorea
Peruvian horse sickness virus,Peruvian horse sickness virus,356862,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Petrovinema poculatum,Petrovinema poculatum,321343,Petrovinema,Strongylidae,Strongylida,Chromadorea
Pilobolus longipes,Pilobolus longipes,81946,Pilobolus,Pilobolaceae,Mucorales,Mucoromycetes
Pilobolus sphaerosporus,Pilobolus sphaerosporus,331074,Pilobolus,Pilobolaceae,Mucorales,Mucoromycetes
Poteriostomum imparidentatum,Poteriostomum imparidentatum,54000,Poteriostomum,Strongylidae,Strongylida,Chromadorea
Poteriostomum ratzii,Poteriostomum ratzii,53999,Poteriostomum,Strongylidae,Strongylida,Chromadorea
Salem virus,Salem virus,120499,Salemvirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Sarcocystis fayeri,Sarcocystis fayeri,1073925,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
Staphylococcus fleurettii,Mammaliicoccus fleurettii,150056,Mammaliicoccus,Staphylococcaceae,Bacillales,Bacilli
Staphylococcus kloosii,Staphylococcus kloosii,29384,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
Strongyloides westeri,Strongyloides westeri,174724,Strongyloides,Strongyloididae,Rhabditida,Chromadorea
Thelazia lacrymalis,Thelazia lacrymalis,114232,Thelazia,Thelaziidae,Rhabditida,Chromadorea
Thermomyces lanuginosus,Thermomyces lanuginosus,5541,Thermomyces,Trichocomaceae,Eurotiales,Eurotiomycetes
Treponema phagedenis,Treponema phagedenis,162,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
Treponema refringens,Treponema refringens,174922,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
Triadinium caudatum,Triadinium caudatum,550469,Triadinium,Ditoxidae,Entodiniomorphida,Litostomatea
Trichomonas equibuccalis,Trichomonas equibuccalis,227311,Trichomonas,Trichomonadidae,Trichomonadida,NA
